COM,IRIS,LIBIRIS,LIBCOM,LIB_EPCI_SUB,P18_POP,P18_POP0002,P18_POP0305,P18_POP0610,P18_POP1117,P18_POP1824,P18_POP2539,P18_POP4054,P18_POP5564,P18_POP6579,P18_POP80P
93078,930780106,Nord-Est Hìpital,Villepinte,Paris Terres d'Envol,2803.58216810691,184.14534998638,128.589334116195,208.415457951055,288.9149423739,253.223873119109,700.65726717443,506.739533281063,236.444245353181,215.992487187346,80.4596775642461
93078,930780107,Sud-Ouest MarchÇ,Villepinte,Paris Terres d'Envol,2225.16322331404,76.7719418773728,116.203837390745,211.0952660332,225.806298891363,230.678389233064,443.285824124542,417.250721880511,224.997855919272,186.953911142686,92.1191768212796
93078,930780108,Sud-Est Picasso,Villepinte,Paris Terres d'Envol,1754.72371512411,111.403384509517,93.7142255610616,163.069319799713,266.830091694977,153.888719066448,376.867500829675,327.176860609062,156.455151386044,91.1033171190509,14.215144548564
93078,930780109,Sud-Est Pasteur,Villepinte,Paris Terres d'Envol,1995.32851053755,148.716787239864,100.295882602418,191.877617430534,294.65487622584,161.633619715432,393.36784104569,343.12587209224,177.889638255149,165.688996297111,18.0773796332782
93078,930780110,Sud-Est Roseraie,Villepinte,Paris Terres d'Envol,1747.89052471871,66.2593135605421,53.7685012522026,111.047120911455,161.269986248849,149.721141191361,389.649738832167,271.252672589604,325.036087326808,202.089321120781,17.796641684936
93078,930780111,Sud-Est Zonedac,Villepinte,Paris Terres d'Envol,2036.11091148286,73.7450166003012,87.5962204126808,187.963914035573,212.746948615994,240.785448337308,330.82882291699,400.321086752711,197.379244675454,241.553749829096,63.1904593067518
93078,930780112,Sud-Est Europe,Villepinte,Paris Terres d'Envol,2074.54877889448,99.2306892932204,106.339646518734,195.885467908126,252.801185941951,176.538611269255,428.712647868049,358.592482496631,224.798635479665,205.416091862041,26.2333202568107
93078,930780113,Sud-Ouest Bellevue,Villepinte,Paris Terres d'Envol,2214.256813774,66.4286709955827,87.4254629843765,200.561094047341,296.141708944586,214.204141100066,326.846150925273,430.836989895259,234.135868788647,290.78203926936,66.8946868235069
93078,930780114,Sud-Ouest Centrale,Villepinte,Paris Terres d'Envol,2310.7429973092,113.996424143018,117.511926205096,199.050943757767,220.261011930102,220.614481725471,439.261853173575,482.522210955086,215.947317230004,201.425612182447,100.151216006638
93078,930780115,Sud-Est Mallet,Villepinte,Paris Terres d'Envol,1589.12689170119,67.9567677965709,105.212859730126,156.365620796087,173.680780724818,156.51043889287,323.09094340253,279.42963760312,175.793609538373,142.151708152847,8.93452506384547
