"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP","P13_POP0024_CALC","P13_POP1824","P13_POP65P","P13_POP0014","P13_POP1529","P13_POP3044","P13_POP4559","P13_POP6074","P13_POP75P"
"751051802","75105","75","Paris 5e Arrondissement","Jardin des Plantes 2","750181","7510518","H","00","2",2468,621,268,503,307,682,429,395,365,290
"751051706","75105","75","Paris 5e Arrondissement","Saint-Victor 6","750141","7510517","A","00","3",21,1,0,2,1,0,3,9,7,1
"751051903","75105","75","Paris 5e Arrondissement","Val de Grace 3","750191","7510519","H","00","1",2572,927,469,417,352,740,508,427,356,188
"751051705","75105","75","Paris 5e Arrondissement","Saint-Victor 5","750141","7510517","H","00","1",2293,464,152,554,266,386,512,400,461,269
"751051803","75105","75","Paris 5e Arrondissement","Jardin des Plantes 3","750181","7510518","H","00","1",2199,606,312,443,229,601,439,389,329,211
"751051799","75105","75","Paris 5e Arrondissement","Seine et berges","750141","7510517","D","00","3",70,7,7,2,0,17,37,10,6,0
"751051801","75105","75","Paris 5e Arrondissement","Jardin des Plantes 1","750161","7510518","H","00","1",1845,509,266,309,215,520,421,286,268,135
"751051901","75105","75","Paris 5e Arrondissement","Val de Grace 1","750191","7510519","H","00","1",2793,855,534,519,249,895,498,458,445,248
"751051704","75105","75","Paris 5e Arrondissement","Saint-Victor 4","750141","7510517","H","00","1",3304,960,447,541,433,824,730,583,449,285
"751052005","75105","75","Paris 5e Arrondissement","Sorbonne 5","750211","7510520","A","00","3",637,389,330,23,52,361,58,126,38,3
"751051902","75105","75","Paris 5e Arrondissement","Val de Grace 2","750191","7510519","H","00","1",1906,543,318,364,185,569,390,291,286,184
"751051701","75105","75","Paris 5e Arrondissement","Saint-Victor 1","750151","7510517","H","00","1",2281,685,354,306,284,700,553,317,279,148
"751051702","75105","75","Paris 5e Arrondissement","Saint-Victor 2","750151","7510517","H","00","1",1565,455,269,207,145,496,383,260,223,58
"751051703","75105","75","Paris 5e Arrondissement","Saint-Victor 3","750151","7510517","H","00","1",2720,980,462,313,425,883,550,451,257,155
"751052099","75105","75","Paris 5e Arrondissement","Seine et berges","750221","7510520","D","00","3",0,0,0,0,0,0,0,0,0,0
"751051899","75105","75","Paris 5e Arrondissement","Seine et berges","750161","7510518","D","00","3",0,0,0,0,0,0,0,0,0,0
"751052002","75105","75","Paris 5e Arrondissement","Sorbonne 2","750211","7510520","H","00","2",1585,530,287,283,194,464,253,309,248,117
"751052003","75105","75","Paris 5e Arrondissement","Sorbonne 3","750221","7510520","H","00","1",1893,545,376,236,122,693,442,324,154,157
"751051905","75105","75","Paris 5e Arrondissement","Val de Grace 5","750201","7510519","H","00","1",2809,1046,587,483,336,883,427,515,418,230
"751051804","75105","75","Paris 5e Arrondissement","Jardin des Plantes 4","750181","7510518","H","00","1",2192,594,312,498,250,557,405,342,365,272
"751051805","75105","75","Paris 5e Arrondissement","Jardin des Plantes 5","750161","7510518","H","00","1",3274,806,357,754,388,738,632,498,658,360
"751051806","75105","75","Paris 5e Arrondissement","Jardin des Plantes 6","750171","7510518","H","00","1",1936,528,283,411,196,567,401,262,291,219
