"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","C13_POP15P_CS7_tx","P13_ACT1564_tx","P13_CHOM1564_tx","P13_ETUD1564_tx","P13_ACT1524_tx","P13_CHOM1524_tx","P13_SAL15P_CDD_tx","P13_SAL15P_INTERIM_tx"
"751062306","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 6","750261","7510623","H","00","1",18.2,74.8,6.7,15.2,26.1,14,11.3,0
"751062101","75106","75","Paris 6e Arrondissement","Monnaie 1","750231","7510621","H","00","1",16.4,71.3,7.6,21.7,23.3,9.1,12.6,1.6
"751062302","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 2","750251","7510623","H","00","1",18.8,61.1,9.4,30.8,18.5,25.8,11,0.9
"751062303","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 3","750251","7510623","H","00","2",26.7,70.1,10.3,21.4,30.5,26.5,12.9,0.2
"751062304","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 4","750271","7510623","H","00","1",23.7,69.8,10,21.8,23.5,16.2,13.8,0.5
"751062205","75106","75","Paris 6e Arrondissement","Jardin du Luxembourg","750241","7510622","D","00","3",0,90.6,0,9.4,45.5,0,0,0
"751062301","75106","75","Paris 6e Arrondissement","Notre Dame des Champs 1","750251","7510623","H","00","2",27.9,66.5,6,22,25,15.9,17.7,1.4
"751062402","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 2","750281","7510624","H","00","1",27.2,70.2,10.5,16,29.9,11.9,10.2,0
"751062204","75106","75","Paris 6e Arrondissement","Odeon 4","750241","7510622","H","00","1",17.8,60.6,11.3,31.9,13,13.7,9.9,0.3
"751062203","75106","75","Paris 6e Arrondissement","Odeon 3","750241","7510622","H","00","2",15.2,75.1,8.1,16.9,36.8,11.7,14.3,0
"751062401","75106","75","Paris 6e Arrondissement","Saint-Germain des Pres 1","750281","7510624","H","00","2",19.1,72.9,6.7,19.2,23.1,8,11.3,0
"751062499","75106","75","Paris 6e Arrondissement","Seine et Berges","750281","7510624","D","00","3",0,0,0,0,0,0,0,0
"751072703","75107","75","Paris 7e Arrondissement","Ecole Militaire 3","750331","7510727","H","00","2",22.3,67.7,11.5,20.7,25.2,12.8,10.2,0
"751072506","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 6","750301","7510725","H","00","1",20.4,69.3,7.5,20.7,26.5,9,11.7,0.3
"751072810","75107","75","Paris 7e Arrondissement","Gros Caillou 10","750361","7510728","H","00","1",16.2,78,8.4,14,42.5,17.5,8.5,0.5
"751072507","75107","75","Paris 7e Arrondissement","Saint-Thomas d'Aquin 7","750311","7510725","A","00","3",0,0,0,0,0,0,0,0
"751072811","75107","75","Paris 7e Arrondissement","Gros Caillou 11","750361","7510728","H","00","2",19.1,69.7,7.4,17.2,30.7,12.5,15.4,0
