"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP0024_tx","P13_POP1824_tx","P13_POP65P_tx","P13_POP75P_tx"
"751083208","75108","75","Paris 8e Arrondissement","Europe 8","750381","7510832","A","00","3",38,9.1,12.6,6.3
"751082901","75108","75","Paris 8e Arrondissement","Champs Elysees 1","750401","7510829","H","00","2",31.9,12,18.3,8.2
"751083210","75108","75","Paris 8e Arrondissement","Europe 10","750421","7510832","A","00","3",37.3,13.3,12.7,5.8
"751082904","75108","75","Paris 8e Arrondissement","Champs Elysees 4","750401","7510829","A","00","3",23.7,9.6,22.8,13.8
"751082905","75108","75","Paris 8e Arrondissement","Champs Elysees 5","750401","7510829","A","00","3",26.8,9.6,17.3,10.3
"751082902","75108","75","Paris 8e Arrondissement","Champs Elysees 2","750401","7510829","A","00","2",31.2,13.5,20,8.6
"751082903","75108","75","Paris 8e Arrondissement","Champs Elysees 3","750401","7510829","A","00","3",27.4,7.1,20.4,11
"751083006","75108","75","Paris 8e Arrondissement","Faubourg du Roule 6","750411","7510830","A","00","3",32.6,15.9,11.4,5.8
"751083101","75108","75","Paris 8e Arrondissement","Madeleine 1","750391","7510831","A","00","3",21.7,3.2,9.6,7
"751083102","75108","75","Paris 8e Arrondissement","Madeleine 2","750391","7510831","A","00","3",26.8,11.2,18,8.3
"751083103","75108","75","Paris 8e Arrondissement","Madeleine 3","750391","7510831","A","00","3",33.5,10.7,8.7,3.2
"751083205","75108","75","Paris 8e Arrondissement","Europe 5","750371","7510832","H","00","1",36.2,16.6,13.8,7.2
"751083206","75108","75","Paris 8e Arrondissement","Europe 6","750381","7510832","H","00","1",29.6,11,15.2,7.2
"751093409","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 9","750481","7510934","A","00","3",28.5,15.4,3.4,1.8
"751093309","75109","75","Paris 9e Arrondissement","Saint-Georges 9","750431","7510933","H","00","2",33.1,10.5,12.3,5.8
"751093306","75109","75","Paris 9e Arrondissement","Saint-Georges 6","750491","7510933","H","00","1",26.3,9.3,15.6,7.1
"751093408","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 8","750481","7510934","A","00","3",34.7,20,7.6,3.4
"751093310","75109","75","Paris 9e Arrondissement","Saint-Georges 10","750431","7510933","H","00","1",22.8,8.8,14,6.2
"751093307","75109","75","Paris 9e Arrondissement","Saint-Georges 7","750501","7510933","H","00","1",28.4,10.5,13.8,6.4
"751093608","75109","75","Paris 9e Arrondissement","Rochechouart 8","750441","7510936","H","00","1",26.1,8.3,13.9,6.6
"751093308","75109","75","Paris 9e Arrondissement","Saint-Georges 8","750501","7510933","H","00","1",26,9.6,11.3,5.3
"751093302","75109","75","Paris 9e Arrondissement","Saint-Georges 2","750431","7510933","H","00","1",28.1,9.5,13.9,5.4
"751093305","75109","75","Paris 9e Arrondissement","Saint-Georges 5","750491","7510933","H","00","1",30.5,14.5,13.4,6.8
"751093407","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 7","750481","7510934","A","00","3",25,8.2,13.4,8.2
"751093607","75109","75","Paris 9e Arrondissement","Rochechouart 7","750461","7510936","H","00","1",30.3,9,9.1,4.3
"751093406","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 6","750481","7510934","A","00","3",31.3,7.2,12,3.6
"751093610","75109","75","Paris 9e Arrondissement","Rochechouart 10","750461","7510936","H","00","1",22.4,6,9.7,3.6
"751093606","75109","75","Paris 9e Arrondissement","Rochechouart 6","750461","7510936","H","00","1",31.6,8.5,13.8,6.8
"751093301","75109","75","Paris 9e Arrondissement","Saint-Georges 1","750431","7510933","H","00","1",26.7,7.8,13.6,5.9
"751093602","75109","75","Paris 9e Arrondissement","Rochechouart 2","750451","7510936","H","00","1",24.9,13.6,10.5,4.6
"751093303","75109","75","Paris 9e Arrondissement","Saint-Georges 3","750501","7510933","H","00","2",29.8,11.7,13.1,5
"751093501","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 1","750471","7510935","H","00","1",28.1,10.6,10,4.3
"751093405","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 5","750481","7510934","A","00","3",24.9,9.1,9.5,5.2
"751093311","75109","75","Paris 9e Arrondissement","Saint-Georges 11","750491","7510933","A","00","3",33.2,18.2,7.3,3.2
"751093603","75109","75","Paris 9e Arrondissement","Rochechouart 3","750451","7510936","H","00","1",25.3,11.2,10.9,5
"751093304","75109","75","Paris 9e Arrondissement","Saint-Georges 4","750491","7510933","H","00","2",26.8,10.8,17.9,9.3
"751093609","75109","75","Paris 9e Arrondissement","Rochechouart 9","750441","7510936","H","00","1",21.6,5.4,13.6,5.8
"751093404","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 4","750481","7510934","A","00","3",0,0,0,0
"751093401","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 1","750481","7510934","A","00","3",21.7,5,11.2,5
"751093604","75109","75","Paris 9e Arrondissement","Rochechouart 4","750451","7510936","H","00","1",24.4,7.9,15.9,9.2
"751093605","75109","75","Paris 9e Arrondissement","Rochechouart 5","750441","7510936","H","00","1",26.1,9.4,12.7,6.2
"751093503","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 3","750471","7510935","H","00","1",25.5,7.6,9.8,4.5
"751093504","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 4","750481","7510935","A","00","2",28.8,9.8,12.1,5.6
"751093402","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 2","750481","7510934","A","00","3",13.3,6.7,0,0
"751093403","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 3","750481","7510934","A","00","2",28,12.5,12.7,4.6
