"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","DEC_TP6013","DEC_MED13"
"751083209","75108","75","Paris 8e Arrondissement","Europe 9","750421","7510832","A","00","3",,
"751083105","75108","75","Paris 8e Arrondissement","Madeleine 5","750391","7510831","A","00","2",,
"751083106","75108","75","Paris 8e Arrondissement","Madeleine 6","750391","7510831","A","00","2",,
"751083107","75108","75","Paris 8e Arrondissement","Madeleine 7","750391","7510831","A","00","3",,
"751082906","75108","75","Paris 8e Arrondissement","Champs Elysees 6","750401","7510829","A","00","3",,
"751083204","75108","75","Paris 8e Arrondissement","Europe 4","750371","7510832","H","00","1","",51714
"751083207","75108","75","Paris 8e Arrondissement","Europe 7","750381","7510832","H","00","2","10,7",44902
"751083208","75108","75","Paris 8e Arrondissement","Europe 8","750381","7510832","A","00","3",,
"751082901","75108","75","Paris 8e Arrondissement","Champs Elysees 1","750401","7510829","H","00","2","",35642
"751083210","75108","75","Paris 8e Arrondissement","Europe 10","750421","7510832","A","00","3",,
"751082904","75108","75","Paris 8e Arrondissement","Champs Elysees 4","750401","7510829","A","00","3",,
"751082905","75108","75","Paris 8e Arrondissement","Champs Elysees 5","750401","7510829","A","00","3",,
"751082902","75108","75","Paris 8e Arrondissement","Champs Elysees 2","750401","7510829","A","00","2",,
"751082903","75108","75","Paris 8e Arrondissement","Champs Elysees 3","750401","7510829","A","00","3",,
"751083006","75108","75","Paris 8e Arrondissement","Faubourg du Roule 6","750411","7510830","A","00","3",,
"751083101","75108","75","Paris 8e Arrondissement","Madeleine 1","750391","7510831","A","00","3",,
"751083102","75108","75","Paris 8e Arrondissement","Madeleine 2","750391","7510831","A","00","3",,
"751083103","75108","75","Paris 8e Arrondissement","Madeleine 3","750391","7510831","A","00","3",,
"751083205","75108","75","Paris 8e Arrondissement","Europe 5","750371","7510832","H","00","1","7,9",49558
"751083206","75108","75","Paris 8e Arrondissement","Europe 6","750381","7510832","H","00","1","10,4",39345
"751093409","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 9","750481","7510934","A","00","3",,
"751093309","75109","75","Paris 9e Arrondissement","Saint-Georges 9","750431","7510933","H","00","2","17,6",31076
"751093306","75109","75","Paris 9e Arrondissement","Saint-Georges 6","750491","7510933","H","00","1","12,6",36624
"751093408","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 8","750481","7510934","A","00","3",,
"751093310","75109","75","Paris 9e Arrondissement","Saint-Georges 10","750431","7510933","H","00","1","",40620
"751093307","75109","75","Paris 9e Arrondissement","Saint-Georges 7","750501","7510933","H","00","1","13,7",34022
"751093608","75109","75","Paris 9e Arrondissement","Rochechouart 8","750441","7510936","H","00","1","11,0",36502
"751093308","75109","75","Paris 9e Arrondissement","Saint-Georges 8","750501","7510933","H","00","1","24,8",27226
"751093302","75109","75","Paris 9e Arrondissement","Saint-Georges 2","750431","7510933","H","00","1","",43884
"751093305","75109","75","Paris 9e Arrondissement","Saint-Georges 5","750491","7510933","H","00","1","10,7",41720
"751093407","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 7","750481","7510934","A","00","3",,
"751093607","75109","75","Paris 9e Arrondissement","Rochechouart 7","750461","7510936","H","00","1","19,7",31301
"751093406","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 6","750481","7510934","A","00","3",,
"751093610","75109","75","Paris 9e Arrondissement","Rochechouart 10","750461","7510936","H","00","1","17,7",29549
"751093606","75109","75","Paris 9e Arrondissement","Rochechouart 6","750461","7510936","H","00","1","10,3",36268
"751093301","75109","75","Paris 9e Arrondissement","Saint-Georges 1","750431","7510933","H","00","1","",38878
"751093602","75109","75","Paris 9e Arrondissement","Rochechouart 2","750451","7510936","H","00","1","14,9",31672
"751093303","75109","75","Paris 9e Arrondissement","Saint-Georges 3","750501","7510933","H","00","2","13,9",36166
"751093501","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 1","750471","7510935","H","00","1","21,6",28308
"751093405","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 5","750481","7510934","A","00","3",,
"751093311","75109","75","Paris 9e Arrondissement","Saint-Georges 11","750491","7510933","A","00","3",,
"751093603","75109","75","Paris 9e Arrondissement","Rochechouart 3","750451","7510936","H","00","1","16,8",29352
"751093304","75109","75","Paris 9e Arrondissement","Saint-Georges 4","750491","7510933","H","00","2","8,6",44292
"751093609","75109","75","Paris 9e Arrondissement","Rochechouart 9","750441","7510936","H","00","1","13,8",34444
"751093404","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 4","750481","7510934","A","00","3",,
"751093401","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 1","750481","7510934","A","00","3",,
"751093604","75109","75","Paris 9e Arrondissement","Rochechouart 4","750451","7510936","H","00","1","14,6",33317
"751093605","75109","75","Paris 9e Arrondissement","Rochechouart 5","750441","7510936","H","00","1","14,1",33292
"751093503","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 3","750471","7510935","H","00","1","15,3",35356
"751093504","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 4","750481","7510935","A","00","2",,
"751093402","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 2","750481","7510934","A","00","3",,
"751093403","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 3","750481","7510934","A","00","2",,
"751093601","75109","75","Paris 9e Arrondissement","Rochechouart 1","750461","7510936","H","00","1","15,0",34157
"751093502","75109","75","Paris 9e Arrondissement","Faubourg Montmartre 2","750471","7510935","H","00","1","16,8",34402
"751103908","75110","75","Paris 10e Arrondissement","Porte Saint-Martin 8","750591","7511039","H","00","1","22,8",24980
